name,type,salty,sweet,sour,bitter,umami,preperation_techniques,compatible_ingredients,highly_recommended,flavor_affinities
Bell Peppers,Vegetable,1,1,1,0,1,"Bake,Broil,Grill,Roast,Saute,Steam,Stew,Stir Fry,Stuff","Anchovies,Anise,Arugula,Bacon,Bay Leaf,Beef,Butter,Capers,Cardamom,Carrots,Cayenne,Chives,Cilantro,Coriander,Cream,Cumin,Curry,Fennel,Ginger,Goulash,Hazelnuts,Honey,Lamb,Lemongrass,Lime Juice,Lovage,MarjoramMint,Mushrooms,Mustard,Olives,Peas,Piquillo Peppers,Pine Nuts,Polenta,Pork,Quail,Red Pepper Flakes,Rosemary,Saffron,Sausages,Scallions,Sea Bass,Sesame Oil,Shallots,Squash,Swordfish,Tabasco Sauce,Tuna,Balsamic Vinegar,Champagne Vinegar,Apple Cider Vinegar,Red Wine Vinegar,Sherry Vinegar,White Wine Vinegar,Watercress,Dry White Wine,Sherry Wine","Basil,Goat Cheese,Mozzarella,Parmesan,Chile Peppers,Eggplant,Garlic,Lemon Juice,Canola Oil,Olive Oil,Onions,Oregano,Parsley,Black Pepper,Potatoes,Rice,Salt,Thyme,Tomatoes,Zucchini",""
Fish,Protein,3,0,1,0,5,"Lemon,Capers,Herbs","Cinnamon,Chocolate"
Strawberries,Fruit,0,5,2,0,0,"Sugar,Vanilla,Chocolate","Garlic,Pepper"
Apples,Fruit,0,4,3,0,0,"Bake,Caramelize,Deep Fry,Grill,Poach,Raw,Saute,Stew","Allspice,Almonds,Armagnac,Bacon,Bay Leaf,Beef,Blackberries,Bourbon,Brioche,Butterscotch,Red Cabbage,Cardamom,Celery,Cherries,Chestnuts,Chicken,Chives,Cointreau,Coriander,Cranberries,Cumin,Dates,Duck,Eggplant,Fennel,Frisee,Goose,Hazelnuts,Horseradish,Ice Cream,Lavender,Lemon Thyme,Lychees,Maple Syrup,Mayonnaise,Meringue,Molasses,Mustard,Nuts,Oatmeal,Olive Oil,Green Onions,Red Onions,Orange Juice,Orange Zest,Pears,Pepper,Pineapple,Pistachios,Plums,Pomegranates,Poultry,Prunes,Quince,Rhubarb,Rice,Rosemary,Salt,Sauerkraut,Sour Cream,Star Anise,Tarragon,Thyme,Verjus,Apple Cider Vinegar,Raspberry Vinegar,Red Wine,Dry White Wine,Yogurt","Apple Cider,Apple Juice,Applejack,Apricots,Butter,Calvados,Caramel,Cheese,Cinnamon,Cloves,Cognac,Cream,Ice Cream,Custards,Ginger,Honey,Kirsch,Lemon Juice,Lemon Zest,Madeira,Nutmeg,Pecans,Pine Nuts,Pork,Pumpkin,Raisins,Rum,Sherry,Sugar,Sweet Potatoes,Vanilla,Vermouth,Walnuts","Apples w/ Almonds and Caramel,Apples w/ Caramel and Cinnamon,Apples w/ Caramel and Peanuts,Apples w/ Caramel and Pecans,Apples w/ Cinnamon and Cranberries,Apples w/ Cream and Ginger,Apples w/ Ginger and Hazelnuts,Apples w/ Raisins and Rum,Apples w/ Red Cabbage and Cinnamon"
Capers,Vegetable,3,0,4,1,3,"Fish,Lemon,Olive Oil","Cinnamon,Vanilla"
Carrot,Vegetable,1,3,1,0,1,"Butter,Thyme,Honey","Garlic,Lemon"
Potato,Vegetable,2,1,0,0,3,"Butter,Salt,Cream","Vanilla,Strawberries"
Milk,Dairy,2,3,0,0,3,"Sugar,Coffee,Vanilla","Lemon,Capers"
Eggs,Protein,3,1,0,0,4,"Salt,Pepper,Cheese","Fruit Juices,Chocolate"
Parmesan,Cheese,5,0,0,1,5,"Pasta,Basil,Olive Oil","Berries,Citrus"
Rosemary,Herb,0,0,1,4,1,"Lamb,Potatoes,Garlic","Chocolate,Vanilla"
Thyme,Herb,0,0,1,3,1,"Chicken,Butter,Lemon","Sugar,Strawberries"
Green Beans,Vegetable,1,1,1,0,1,"Boil,Grill,Saute,Steam,Stir Fry","Anchovies,Bay Leaf,Shell Beans,Bell Pepper,Bread Crumbs,Capers,Carrots,Cayenne,Chervil,Chickpeas,Chile Peppers,Chives,Cilantro,Coconut,Corn,Cream,Creme Fraiche,Curry Leaves,Fennel,Lime Juice,Lovage,Mint,Mushrooms,Dijon Mustard,Mustard Seeds,Nuts,Oregano,Pancetta,Paprika,Peanuts,Black Pepper,White Pepper,Pernod,Pork,Prosciutto,Red Pepper Flakes,Rosemary,Sage,Shrimp,Soy Sauce,Sugar,Tamari,Walnuts,Yogurt","Almonds,Bacon,Basil,Butter,Parmesan,Cumin,Dill,Eggs,Garlic,Ginger,Ham,Lemon Juice,Marjoram,Peanut Oil,Sesame Oil,Olive Oil,Black Olives,Nicoise Olives,Onions,Parsley,Potatoes,Salt,Shallots,Tarragon,Thyme,Tomatoes","Green Beans w/ Mustard and Prosciutto"
Flageolet Beans,Legume,3,1,0,1,4,"Simmer","Apples,Arugula,Basil,Bay Leaf,Butter,Carrots,Cassoulet,Celery,Manchego,Pecorino,Chicken,Cream,Lemon Juice,Lime,Marjoram,Olive Oil,Orange,Black Pepper,Pork,Salt,Tarragon,Red Wine Vinegar,Dry White Wine","Garlic,Lamb,Onions,Parsley,Shallots,Thyme,Tomatoes","Flageolet Beans w/ Garlic and thyme"
Fava Beans,Legume,3,1,0,1,4,"Boil,Puree,Simmer","Bacon,Chile Peppers,Chives,Cilantro,Corn,Cream,Cumin,Curry,Dill,Fennel,Gnocchi,Greens,Ham,Herbs,Leeks,Lentils,Lobster,Orange Zest,Oregano,Peas,Black Pepper,Prociutto,Rabbit,Radishes,Rice,Risotto,Shellfish,Shallots,Spinach,Steak,Tomatoes,Apple Cider Vinegar,Walnuts,Yogurt","Basil,Butter,Duck,Fish,Garlic,Lamb,Lemon Juice,Mint,Walnut Oil,Olive Oil,Onions,Parsley,Rosemary,Sage,Salt,Thyme","Fava Beans w/ Basil and Spring Onions,Fava Beans w/ Lamb and Thyme"
White Beans,Legume,3,1,0,1,4,"Braise,Puree,Simmer","Bacon,Celery,Clams,Garlic,Lamb,Lemon,Olive Oil,Paprika,Black Pepper,Saffron,Sausages,Tarragon,Thyme,Tomatoes","Carrots,Onions,Parsley,Salt","White Beans w/ Trout and Pumpkin"
Black Beans,Legume,3,1,0,1,4,"Simmer","Allspice,Apples,Beer,Bell Peppers,Butter,Tobasco Sauce,Cayenne,Cheddar Cheese,Feta Cheese,Parmesan,Queso Fresco,Ancho Chili Powder,Chives,Cream,Creme Fraiche,Duck,Egg,Epazote,Fennel,Ginger,Ham,Lemon,Maple Syrup,Orange,Orange Juice,Orange Zest,Oregano,Red Pepper Flakes,Rice,Rosemary,Sausage,Shallots,Sherry,Shrimp,Spinach,Brown SUgar,White Sugar,Apple Cider Vinegar,Red Wine Vinegar,Sherry Vinegar,White Wine Vinegar,Madeira Wine,Sherry Wine,Yogurt","Avocado,Bacon,Bay Leaf,Carrots,Celery,Ancho Chiles,Cachuca Chiles,Chipotle Chiles,Jalapeno Peppers,Cilantro,Cumin,Garlic,Lime Juice,Olive Oil,Parsley,Black Pepper,White Pepper,Salt,Scallions,Sour Cream,Thyme,Tomatoes","Black Beans w/ Lemon and Sherry"











Avocado,Fruit,1,2,1,0,4,"Raw","Arugula,Bacon,Basil,Black Beans,Bell Peppers,Butter,Chayote,Chervil,Chicken,Chives,Corn,Crab,Heavy Cream,Creme Fraiche,Cucumbers,Cumin,Dashi,Fennel,Fish,Garlic,Jicama,Mangoes,Mayonnaise,Olive Oil,Orange,Parsley,Radishes,Rocket,Sake,Salsa,Scallions,Shellfish,Shrimp,Smoked Fish,Soy Sauce,Spinach,Tabasco Sauce,Tarragon,Tequila,Tomatillos,Balsamic Vinegar,Cider Vinegar,Tarragon Vinegar,White Wine Vinegar,Walnuts,Yogurt","Chipotle Peppers,Jalapenos,Serranos,Cilantro,Endive,Frisee,Grapefruit,Lemon Juice,Lemon Zest,Lime Juice,Lobster,Red Onions,White Onions,Black Pepper,White Pepper,Salt,Sour Cream,Tomatoes","Avocado w/ Bacon and Scallions,Avocado w/ Tomatoes and Balsamic Vinegar,Avocado w/ Cilantro and Lime Juice,Avocado w/ Crab and Grapefruit,Avocado w/ Lemon and Smoked Trout"
Lime,Fruit,0,1,5,0,0,"Cilantro,Avocado,Fish","Milk,Cheese"
Mushrooms,Vegetable,2,0,0,3,5,"Garlic,Thyme,Butter","Sugar,Vanilla"
Cucumber,Vegetable,0,1,2,0,0,"Yogurt,Dill,Lemon","Chocolate,Cinnamon"
Peanuts,Nut,2,2,0,1,3,"Soy Sauce,Honey,Chili","Tomatoes,Lemon"
Maple Syrup,Sweetener,0,5,0,0,1,"Pancakes,Bacon,Nuts","Fish,Capers"
Anchovies,Fish,5,0,0,0,5,"Topping,Umami Enhancer","Basil,GreenBeens,Bell Peppers,Carrots,Celery,Chives,Fennel,Lobster,Dijon Mustard,Nectarines,Onions,Orange Zest,Piquillo Peppers,Potatoes,Red Pepper Flakes,Romaine Lettuce,Rosemary,Salmon,SHallots,Sherry,Tapenade,Thyme,Tomatoes,Tuna","Almonds,Capers,Parmesan Cheese,Olives,Eggs,Garlic,Lemon Juice,Mayonnaise,Olive Oil,Parsley,Black Pepper,White Pepper,Champagne Vinegar,Red Wine Vinegar,Sherry Vinegar","Anchovies w/ Lemon and Rosemary"
Ricotta,Cheese,2,3,0,0,3,"Honey,Lemon,Tomatoes","Pepper,Capers"
Prosciutto,Meat,4,1,0,0,5,"Melon,Arugula,Cheese","Citrus,Chocolate"
Blue Cheese,Cheese,5,1,0,3,5,"Pears,Walnuts,Honey","Berries,Lime"
Artichoke,Vegetable,1,0,2,3,2,"Bake,Boil,Braise,Broil,Deep Fry,Grill,Raw,Roast,Saute,Steam,Stew","Aioli,Arugula,Bacon,Basil,Fava Beans,Beets,Bell Peppers,Capers,Carrots,Cashews,Celery,Chervil,Chicken,Chives,Coriander,Cream,Creme Fraiche,Eggs,Grapefruit,Ham,Hazelnuts,Hollandaise Sauce,Leeks,Lobster,Mushrooms,Dijon Mustard,Orange,Pancetta,Pesto,Piquillo Peppers,Potatoes,Prociutto,Radicchio,Red Pepper Flakes,Rice,Risotto,Rosemary,Saffron,Sage,Shallots,Shellfish,Sherry,Shrimp,Soy Sauce,Spinach,Sugar,Tapenade,Tarragon,Truffles,Tuna,Walnuts,Yogurt","Anchovies,Bay Leaf,Bread Crumbs,Butter,Emmental Cheese,Goat Cheese,Gruyere,Parmesan,Garlic,Lemon,Mayonnaise,Mint,Olive Oil,Yellow Onions,Sweet Onions,Parsley,Black Pepper,White Pepper,Salt,Thyme,Tomatoes,Dry White Wine","Artichoke w/ Garlic and Lemon,Artichoke w/ Garlic and Mint,Artichoke w/ Garlic and Sage,Artichoke w/ Lemon and Onions"
Tarragon,Herb,0,0,2,3,1,"Chicken,Fish,Lemon,Lobster","Chocolate,Peanuts"
Mint,Herb,0,1,3,0,0,"Lamb,Chocolate,Peas","Tomatoes,Soy Sauce"
Pomegranate,Fruit,0,4,4,0,0,"Cinnamon,Yogurt,Arugula","Garlic,Olives"
Arugula,Vegetable,1,0,3,2,1,"Braise,Raw,Saute,Soups,Wilt","Almonds,Basil,White Beans,Bell Peppers,Chicken,Cilantro,Clams,Corn,Cucumbers,Dill,Eggs,Fennel,Fish,Grapes,Lovage,Mint,Mushrooms,Mussels,Nuts,Black Olives,Oranges,Pancetta,Parsley,Pears,Pesto,Pine Nuts,Potatoes,Prosciutto,Radishes,Risotto,Salt,Shallots,Shellfish,Shrimp,Tuna,Champagne Vinegar,Red Wine Vinegar,Sherry Vinegar,White Wine Vinegar,Watercress","Goat Cheese,Parmesan,Endive,Garlic,Lemon Juice,Olive Oil,Raddichio,Tomatoes,Balsamic Vinegar","Arugula w/ Endive and Radicchio,Arugula w/ Fennel and Pears,Arugula w/ Pears and Prosciutto"
Pecans,Nut,2,3,0,1,2,"Maple Syrup,Cinnamon,Apples","Tomatoes,Lemon"
Shrimp,Seafood,4,0,1,0,5,"Garlic,Butter,Lime","Chocolate,Dairy"
Chili Pepper,Spice,1,0,4,2,2,"Lime,Garlic,Tomatoes","Vanilla,Milk"
Fennel,Vegetable,0,1,2,2,1,"Lemon,Garlic,Fish","Chocolate,Pears"
Raspberry,Fruit,0,5,4,0,0,"Vanilla,Chocolate,Citrus","Garlic,Olives"
Buttermilk,Dairy,2,2,3,0,1,"Baking Soda,Lemon,Berries","Fish,Soy Sauce"
Quinoa,Grain,2,1,0,0,2,"Tomatoes,Cumin,Garlic","Chocolate,Vanilla"
Coconut,Fruit,0,4,1,0,1,"Curry,Chocolate,Lime","Tomatoes,Garlic"
Pineapple,Fruit,0,5,5,0,0,"Ham,Vanilla,Cilantro","Garlic,Cheese"
Beet,Vegetable,1,4,2,1,1,"Goat Cheese,Walnuts,Vinegar","Garlic,Capers"
Goat Cheese,Cheese,3,1,2,1,3,"Beets,Pears,Walnuts","Lime,Chocolate"
Cilantro,Herb,0,0,4,1,0,"Lime,Fish,Avocado","Chocolate,Dairy"
Watermelon,Fruit,0,5,1,0,0,"Feta,Mint,Lime","Garlic,Capers"
Feta,Cheese,4,0,2,1,5,"Watermelon,Mint,Cucumber","Chocolate,Vanilla"
Oregano,Herb,0,0,1,3,1,"Tomatoes,Olive Oil,Garlic","Chocolate,Fruit Juices"
Paprika,Spice,1,0,1,2,2,"Potatoes,Garlic,Chicken","Vanilla,Fruits"
Clove,Spice,0,3,0,5,1,"Cinnamon,Vanilla,Apples","Tomatoes,Fish"
Kale,Vegetable,2,0,3,2,1,"Lemon,Garlic,Olive Oil","Chocolate,Fruit Juices"
Cranberries,Fruit,0,5,5,0,0,"Oranges,Cinnamon,Turkey","Garlic,Olives"
Turmeric,Spice,0,0,0,3,1,"Curry,Coconut,Lemon","Vanilla,Fruit Juices"
Edamame,Legume,2,0,0,1,4,"Soy Sauce,Ginger,Garlic","Sugar,Vanilla"
Sesame Seeds,Seed,2,0,0,1,3,"Soy Sauce,Ginger,Garlic","Chocolate,Lime"
Peaches,Fruit,0,5,2,0,0,"Cream,Vanilla,Prosciutto","Garlic,Capers"
Pear,Fruit,0,4,2,0,0,"Blue Cheese,Walnuts,Honey","Garlic,Olives"
Walnuts,Nut,2,3,0,3,2,"Blue Cheese,Pears,Honey","Tomatoes,Lime"
Radish,Vegetable,1,0,4,2,0,"Butter,Lemon,Avocado","Chocolate,Vanilla"
Avocado Oil,Fat,1,0,0,1,3,"Lime,Garlic,Tomatoes","Sugar,Vanilla"
Rice,Grain,2,0,0,0,2,"Soy Sauce,Ginger,Garlic","Vanilla,Cinnamon"
Cherries,Fruit,0,5,2,0,0,"Chocolate,Cinnamon,Vanilla","Garlic,Capers"
Chickpeas,Legume,3,1,0,0,4,"Garlic,Tahini,Lemon","Chocolate,Fruit Juices"
Tahini,Condiment,3,0,0,2,4,"Lemon,Garlic,Chickpeas","Vanilla,Chocolate"
Cabbage,Vegetable,1,0,2,1,1,"Vinegar,Carrots,Ginger","Chocolate,Vanilla"
Pickles,Vegetable,3,0,5,1,1,"Dill,Mustard,Lemon","Chocolate,Sugar"
Duck,Protein,4,0,0,1,5,"Orange,Thyme,Red Wine","Mint,Peaches"
Pumpkin,Vegetable,1,3,1,0,1,"Sage,Nutmeg,Cheese","Lime,Fish"
Sage,Herb,0,0,1,3,1,"Pumpkin,Butter,Pork","Strawberries,Soy Sauce"
Brussels Sprouts,Vegetable,2,0,1,3,3,"Bacon,Chestnuts,Butter","Peaches,Raspberries"
Chestnuts,Nut,2,3,0,1,1,"Brussels Sprouts,Sage,Cream","Tomatoes,Lime"
Plums,Fruit,0,4,2,0,0,"Cinnamon,Red Wine,Duck","Olives,Garlic"
Anise,Spice,0,3,0,5,1,"Add early in cooking","Allspice,Almonds,Apples,Beets,Cabbage,Cardamom,Carrots,Cauliflower,Goat Cheese,Ricotta,Chestnuts,Cinnamon,Cloves,Coffee,Crab,Cream,Cumin,Dates,Duck,Fennel,Figs,Garlic,Ginger,Hazelnuts,Lemon,Lentils,Mayonnaise,Melon,Mussels,Nutmeg,Nuts,Orange,Parsnips,Peaches,Pears,Pepper,Pickles,Pineapple,Plums,Pork,Prunes,Pumpkin,Quince,Raisins,Rhubarb,Salumi,Sauerkraut,Shellfish,Strawberries,Sugar,Sweet Potatoes,Tea,Vanilla,Walnuts","Breads,Cookies,Cakes,Fish",""
Pork,Protein,5,0,0,0,5,"Apples,Thyme,Star Anise","Citrus,Mint"
Blackberry,Fruit,0,4,3,0,0,"Mint,Red Wine,Vanilla","Soy Sauce,Cheese"
Caviar,Seafood,5,0,1,0,5,"Eggs,Creme Fraiche,Potatoes","Cinnamon,White Chocolate,Peaches"
Creme Fraiche,Dairy,2,3,1,0,3,"Caviar,Blackberries,Lemon","Soy Sauce,Cucumber"
Parsley,Herb,0,0,1,2,0,"Fish,Lemon,Butter","Chocolate,Berries"
Lamb,Protein,4,0,0,1,5,"Rosemary,Mint,Garlic","Citrus,Cucumber"
Saffron,Spice,0,0,1,4,1,"Rice,Fish,Butter","Cinnamon,Vanilla"
Cucumber,Vegetable,0,1,1,0,0,"Yogurt,Dill,Feta","Red Wine,Chocolate"
Red Wine,Beverage,1,0,3,2,2,"Beef,Blackberries,Plums","Cucumber,Soy Sauce"
Pearl Onions,Vegetable,1,1,1,1,2,"Beef,Red Wine,Butter","Citrus,Chocolate"
Zucchini,Vegetable,1,0,1,0,1,"Tomatoes,Parmesan,Thyme,Pecans","Berries,Fruit Juices"
Ricotta,Cheese,3,0,1,0,4,"Zucchini,Olive Oil,Herbs","Citrus,Chocolate"
Fig,Fruit,0,5,1,0,0,"Prosciutto,Goat Cheese,Walnuts","Pickles,Mustard"
Mustard,Condiment,5,0,3,2,2,"Pickles,Ham,Beef","Fruits,Vanilla"
Ham,Protein,5,0,1,0,5,"Pineapple,Mustard,Cheese","Strawberries,Red Wine"
Dill,Herb,0,0,2,1,0,"Cucumber,Yogurt,Lemon","Chocolate,Mint"
Leek,Vegetable,2,1,1,1,2,"Potatoes,Butter,Cream","Berries,Lime"
Spinach,Vegetable,1,0,2,1,1,"Eggs,Nutmeg,Feta","Chocolate,Raspberries"
Nutmeg,Spice,0,2,0,4,1,"Spinach,Pumpkin,Bechamel","Soy Sauce,Citrus"
Bechamel,Sauce,2,1,0,0,3,"Nutmeg,Cheese,Lasagna","Pickles,Star Anise"
Pine Nuts,Seed,2,3,0,1,3,"Basil,Parmesan,Olive Oil","Soy Sauce,Cranberries"
Endive,Vegetable,1,0,3,3,1,"Walnuts,Blue Cheese,Pears","Chocolate,Soy Sauce"
Venison,Protein,5,0,0,2,5,"Juniper,Red Wine,Garlic","Citrus,Tomatoes"
Juniper Berry,Spice,0,1,2,4,0,"Venison,Gin,Red Wine","Tomatoes,Butter"
Rutabaga,Vegetable,1,2,1,0,1,"Butter,Thyme,Pork","Mint,Fruit Juices"
Truffle,Fungus,3,0,0,4,5,"Eggs,Parmesan,Pasta","Citrus,Berries"
Black Sesame,Seed,3,1,0,3,3,"Soy Sauce,Miso,Ginger","Fruits,Vanilla"
Miso,Condiment,5,0,3,2,5,"Tofu,Black Sesame,Scallions","Sugar,Berries"
Tofu,Protein,3,0,1,0,4,"Soy Sauce,Ginger,Garlic","Chocolate,Peaches"
Scallion,Vegetable,2,0,2,1,2,"Tofu,Miso,Eggs","Chocolate,Raspberries"
Watercress,Vegetable,1,0,3,3,0,"Citrus,Olive Oil,Seafood","Chocolate,Butter"
Curry Leaves,Herb,0,0,3,2,2,"Coconut Milk,Rice,Lime","Cheese,Berries"
Celery,Vegetable,2,0,1,2,1,"Carrots,Onions,Peanut Butter","Chocolate,Cinnamon"
Red Onion,Vegetable,3,1,1,1,2,"Garlic,Tomatoes,Butter","Berries,Vanilla"
White Onion,Vegetable,3,3,1,1,2,"Garlic,Tomatoes,Butter","Fruit Juices, Vanilla"
Balsamic Vinegar,Condiment,1,3,5,0,1,"Olive Oil,Tomatoes,Parmesan","Milk,Cream"
Bay Leaf,Herb,0,0,2,4,0,"Simmer,Stew","Allspice,Apples,Beef,Caramel,Cauliflower,Celery,Chestnuts,Chicken,Corn,Cream,Ice Cream,Custards,Dates,Desserts,Duck,Figs,Garlic,Grains,Juniper Berries,Lamb,Lemon Juice,Lentils,Marjoram,Onions,Pears,Black Pepper,Polenta,Pork,Pot Roast,Poultry,Prunes,Pumpkin,Quail,Rosemary,Sage,Salmon,Sausage,Shellfish,Shrimp,Spinach,Summer Squash,Winter Squash,Strawberries,Swordfish,Tuna,Turkey,Vanilla,Veal,Venison,Vinegar","Beans,Fish,Parsley,Rice,Risotto,Thyme,Tomatoes",""
Chive,Herb,0,0,2,1,0,"Potatoes,Eggs,Sour Cream","Chocolate,Fruit Juices"
Coriander,Spice,0,0,3,2,1,"Cumin,Lime,Chicken","Vanilla,Strawberries"
Tarragon,Herb,0,0,1,3,0,"Eggs,Fish,Chicken","Tomatoes,Fruit Juices"
Marjoram,Herb,0,0,2,2,1,"Mushrooms,Pork,Lamb","Chocolate,Peaches"
Anise Seed,Spice,0,3,0,4,1,"Fennel,Pork,Baking","Tomatoes,Cheese"
Oregano,Herb,0,0,1,3,1,"Tomatoes,Cheese,Olive Oil","Chocolate,Vanilla"
Bok Choy,Vegetable,1,0,2,1,1,"Soy Sauce,Ginger,Garlic","Dairy,Chocolate"
Tamarind,Condiment,0,3,5,0,1,"Curry,Chili,Peanuts","Vanilla,Cheese"
Horseradish,Spice,2,0,4,3,1,"Beef,Mustard,Lemon","Chocolate,Fruit Juices"
Rose Petals,Flavoring,0,3,2,0,0,"Honey,Pistachios,Cardamom","Garlic,Soy Sauce"
Cardamom,Spice,0,3,2,4,1,"Coffee,Vanilla,Pistachios","Tomatoes,Soy Sauce"
Sumac,Spice,0,0,5,1,0,"Lamb,Onion,Yogurt","Chocolate,Cheese"
Dandelion Greens,Vegetable,0,0,4,3,0,"Lemon,Garlic,Bacon","Chocolate,Vanilla"
Kale,Vegetable,1,0,2,2,1,"Lemon,Olive Oil,Parmesan","Chocolate,Peaches"
Fenugreek,Spice,0,3,3,2,1,"Curry,Coconut Milk,Lamb","Vanilla,Fruit Juices"
Marsala Wine,Fortified Wine,5,0,0,0,1,"Chicken, Mushrooms, Parmesan","Chocolate, Vanilla"
White Chocolate,Chocolate,0,5,0,0,0,"Raspberries, Peaches, Caviar","Garlic, Soy Sauce"
Lobster
Banana,Fruit,0,4,3,0,0,"Bake,Broil,Caramelize,Deep Fry,Grill,Poach,Raw,Saute","Allspice,Almonds,Apricots,Blackberries,Brandy,Buttermilk,Butterscotch,Cardamom,Cashews,Cherries,Habanero Peppers,Jalapeno Peppers,Serrano Peppers,Cinnamon,Cloves,Coffee,Cream Cheese,Creme Anglaise,Creme Fraiche,Curries,Custard,Dates,Desserts,Figs,Guava,Hazelnuts,Lemongrass,Meringue,Nutmeg,Oats,Parsley,Passion Fruit,Peanuts,Peanut Butter,Pecans,Black Pepper,Pistachios,Pomegranate,Raisins,Raspberries,Rice,Sesame Seeds,Sour Cream,Strawberries,Sweet Potatoes,Tobasco Sauce,White Vinegar,Yogurt","Armagnac,Blueberries,Butter,Calvados,Caramel,Dark Chocolate,White Chocolate,Coconut,Coconut Milk,Cognac,Heavy Cream,Ice Cream,Ginger,Honey,Kirsch,Lemon Juice,Lime Juice,Macadamia,Mangoes,Maple Syrup,Orange,Papaya,Pineapple,Rum,Brown Sugar,White Sugar,Vanilla,Walnuts","Banana w/ Blackberries and Cream,Banana w/ Caramel and Chocolate,Banana w/ Coconut and Cream,Banana w/ Cream and Mango,Banana w/ Dates and Oatmeal,Banana w/ Honey and Sesame Seeds"
Jasmine
Allspice,Spice,0,3,0,4,1,"Add early in cooking","Apples,Beans,Beets,Cabbage,Carrots,Chickpeas,Chile Peppers,Cinnamon,Cloves,Coriander,Eggplant,Fish,Garlic,Goat,Grains,Ham,Ketchup,Lamb,Mace,Mushrooms,Mustard,Nutmeg,Nuts,Onions,Black Pepper,Pineapple,Pork,Rabbit,Rice,Rosemary,Sauerkraut,Sausages,Spinach,Sweet Potatoes,Thyme,Tomatoes,Turnips","Beef,Chicken,Ginger,Pumpkin,Squash","Allspice w/ Beef and Onions,Allspice w/ Garlic and Pork"
Corn 
Bell Pepper
Goat
Mango
Okra
Papaya
Sweet Potato
Yams
Plantains
Wheat
Almonds,Nut,2,3,0,1,3,"Texture,Garnish","Amaretto,Green Anise,Apples,Beans,Blackberries,Brandy,Butterscotch,Cardomom,Cayenne,Goat Cheese,Manchego,Ricotta,Cherries,Chicken,White Chocolate,Cinnamon,Cornmeal,Corn Syrup,Crab,Cranberries,Cream Cheese,Creme Fraiche,Currants,Fish,Garlic,Grapes,Ice Cream,Lamb,Lavender,Mascarpone,Milk,Molasses,Nectarines,Oats,Olives,Paprika,Passion Fruit,Peaches,Pears,Pecans,Pepper,Pine Nuts,Plums,Praline,Prunes,Quince,Raisins,Raspberries,Rhubarb,Rice,Rosemary,Rum,Shellfish,Sherry,Strawberries,Tea,Walnuts","Apricots,Butter,Caramel,Dark Chocolate,Milk Chocolate,Coconut,Coffee,Cream,Figs,Hazelnuts,Honey,Lemon Juice,Lemon Zest,Olive Oil,Orange Juice,Orange Zest,Salt,Sugar,Vanilla","Almonds w/ Chocolate and Coconut,Almonds w/ Coffee and Orange,Almonds w/ Green Anise and Figs"